Date;Time;SensorData;Location
02.05.2016;07:51:43.756;5;Home@Brun;
02.05.2016;07:51:43.853;5;Home@Brun;
02.05.2016;07:51:43.953;5;Home@Brun;
02.05.2016;07:51:44.053;5;Home@Brun;
02.05.2016;07:51:44.153;5;Home@Brun;
02.05.2016;07:51:44.253;5;Home@Brun;
02.05.2016;07:51:44.353;5;Home@Brun;
02.05.2016;07:51:44.453;5;Home@Brun;
02.05.2016;07:51:44.553;5;Home@Brun;
02.05.2016;07:51:44.653;5;Home@Brun;
02.05.2016;07:51:44.753;5;Home@Brun;
02.05.2016;07:51:44.853;5;Home@Brun;
02.05.2016;07:51:44.953;5;Home@Brun;
02.05.2016;07:51:45.053;5;Home@Brun;
02.05.2016;07:51:45.153;5;Home@Brun;
02.05.2016;07:51:45.253;5;Home@Brun;
02.05.2016;07:51:45.353;5;Home@Brun;
02.05.2016;07:51:45.453;5;Home@Brun;
02.05.2016;07:51:45.553;5;Home@Brun;
02.05.2016;07:51:45.653;5;Home@Brun;
02.05.2016;07:51:45.753;5;Home@Brun;
02.05.2016;07:51:45.853;5;Home@Brun;
02.05.2016;07:51:45.953;5;Home@Brun;
02.05.2016;07:51:46.053;5;Home@Brun;
02.05.2016;07:51:46.153;5;Home@Brun;
02.05.2016;07:51:46.253;5;Home@Brun;
02.05.2016;07:51:46.353;5;Home@Brun;
02.05.2016;07:51:46.453;5;Home@Brun;
02.05.2016;07:51:46.553;5;Home@Brun;
02.05.2016;07:51:46.653;5;Home@Brun;
02.05.2016;07:51:46.754;5;Home@Brun;
02.05.2016;07:51:46.854;5;Home@Brun;
02.05.2016;07:52:22.200;5;Home@Brun;
02.05.2016;07:52:22.297;5;Home@Brun;
02.05.2016;07:52:22.397;5;Home@Brun;
02.05.2016;07:52:22.497;5;Home@Brun;
02.05.2016;07:52:22.597;5;Home@Brun;
02.05.2016;07:52:22.697;5;Home@Brun;
02.05.2016;07:52:22.797;5;Home@Brun;
02.05.2016;07:52:22.897;5;Home@Brun;
02.05.2016;07:52:22.997;5;Home@Brun;
02.05.2016;07:52:23.097;5;Home@Brun;
02.05.2016;07:52:23.197;5;Home@Brun;
02.05.2016;07:56:29.540;5;Home@Brun;
02.05.2016;07:56:29.631;5;Home@Brun;
02.05.2016;07:56:29.731;5;Home@Brun;
02.05.2016;07:56:29.831;5;Home@Brun;
02.05.2016;07:56:29.932;5;Home@Brun;
02.05.2016;07:56:30.032;5;Home@Brun;
02.05.2016;07:56:30.131;5;Home@Brun;
02.05.2016;07:56:30.231;5;Home@Brun;
02.05.2016;07:56:30.332;5;Home@Brun;
02.05.2016;07:56:30.432;5;Home@Brun;
02.05.2016;07:56:30.532;5;Home@Brun;
02.05.2016;07:56:30.632;5;Home@Brun;
02.05.2016;07:56:30.732;5;Home@Brun;
02.05.2016;07:56:30.832;5;Home@Brun;
02.05.2016;07:56:30.932;5;Home@Brun;
02.05.2016;07:56:31.032;5;Home@Brun;
02.05.2016;07:56:31.132;5;Home@Brun;
02.05.2016;07:56:31.232;5;Home@Brun;
02.05.2016;07:56:31.332;5;Home@Brun;
02.05.2016;07:56:31.432;5;Home@Brun;
02.05.2016;07:56:31.532;5;Home@Brun;
02.05.2016;07:56:31.632;5;Home@Brun;
02.05.2016;07:56:31.732;5;Home@Brun;
02.05.2016;07:56:31.832;5;Home@Brun;
02.05.2016;07:56:31.932;5;Home@Brun;
02.05.2016;07:56:32.032;5;Home@Brun;
02.05.2016;07:56:32.132;5;Home@Brun;
02.05.2016;08:00:50.119;5;Home@Brun;
02.05.2016;08:00:50.216;5;Home@Brun;
02.05.2016;08:00:50.316;5;Home@Brun;
02.05.2016;08:00:50.416;5;Home@Brun;
02.05.2016;08:00:50.516;5;Home@Brun;
02.05.2016;08:00:50.616;5;Home@Brun;
02.05.2016;08:00:50.716;5;Home@Brun;
02.05.2016;08:00:50.816;5;Home@Brun;
02.05.2016;08:00:50.916;5;Home@Brun;
02.05.2016;08:00:51.016;5;Home@Brun;
02.05.2016;08:00:51.116;5;Home@Brun;
02.05.2016;08:00:51.216;5;Home@Brun;
02.05.2016;08:00:51.316;5;Home@Brun;
02.05.2016;08:00:51.417;5;Home@Brun;
02.05.2016;08:00:51.517;5;Home@Brun;
02.05.2016;08:00:51.617;5;Home@Brun;
02.05.2016;08:00:51.717;5;Home@Brun;
02.05.2016;08:00:51.817;5;Home@Brun;
02.05.2016;08:00:51.917;5;Home@Brun;
02.05.2016;08:00:52.017;5;Home@Brun;
02.05.2016;08:00:52.117;5;Home@Brun;
02.05.2016;08:00:52.217;5;Home@Brun;
02.05.2016;08:00:52.317;5;Home@Brun;
02.05.2016;08:00:52.417;5;Home@Brun;
02.05.2016;08:00:52.517;5;Home@Brun;
02.05.2016;08:00:52.617;5;Home@Brun;
02.05.2016;08:00:52.717;5;Home@Brun;
02.05.2016;08:00:52.817;5;Home@Brun;
02.05.2016;08:00:52.917;5;Home@Brun;
02.05.2016;08:00:53.017;5;Home@Brun;
02.05.2016;08:00:53.117;5;Home@Brun;
02.05.2016;08:00:53.217;5;Home@Brun;
02.05.2016;08:00:53.317;5;Home@Brun;
02.05.2016;08:00:53.417;5;Home@Brun;
02.05.2016;08:00:53.517;5;Home@Brun;
02.05.2016;08:00:53.617;5;Home@Brun;
02.05.2016;08:00:53.717;5;Home@Brun;
02.05.2016;08:00:53.817;5;Home@Brun;
02.05.2016;08:00:53.917;5;Home@Brun;
02.05.2016;08:00:54.017;5;Home@Brun;
02.05.2016;08:00:54.117;5;Home@Brun;
02.05.2016;08:00:54.217;5;Home@Brun;
02.05.2016;08:00:54.317;5;Home@Brun;
02.05.2016;08:00:54.417;5;Home@Brun;
02.05.2016;08:00:54.517;5;Home@Brun;
02.05.2016;08:00:54.617;5;Home@Brun;
02.05.2016;08:00:54.717;5;Home@Brun;
02.05.2016;08:00:54.818;5;Home@Brun;
02.05.2016;08:00:54.918;5;Home@Brun;
