Date;Time;SensorData;Location
02.05.2016;08:00:50.119;10;Home@Brun;
02.05.2016;08:00:50.217;10;Home@Brun;
02.05.2016;08:00:50.317;10;Home@Brun;
02.05.2016;08:00:50.417;10;Home@Brun;
02.05.2016;08:00:50.517;10;Home@Brun;
02.05.2016;08:00:50.617;10;Home@Brun;
02.05.2016;08:00:50.717;10;Home@Brun;
02.05.2016;08:00:50.817;10;Home@Brun;
02.05.2016;08:00:50.917;10;Home@Brun;
02.05.2016;08:00:51.017;10;Home@Brun;
02.05.2016;08:00:51.117;10;Home@Brun;
02.05.2016;08:00:51.217;10;Home@Brun;
02.05.2016;08:00:51.317;10;Home@Brun;
02.05.2016;08:00:51.417;10;Home@Brun;
02.05.2016;08:00:51.517;10;Home@Brun;
02.05.2016;08:00:51.617;10;Home@Brun;
02.05.2016;08:00:51.717;10;Home@Brun;
02.05.2016;08:00:51.817;10;Home@Brun;
02.05.2016;08:00:51.917;10;Home@Brun;
02.05.2016;08:00:52.017;10;Home@Brun;
02.05.2016;08:00:52.117;10;Home@Brun;
02.05.2016;08:00:52.217;10;Home@Brun;
02.05.2016;08:00:52.317;10;Home@Brun;
02.05.2016;08:00:52.417;10;Home@Brun;
02.05.2016;08:00:52.517;10;Home@Brun;
02.05.2016;08:00:52.617;10;Home@Brun;
02.05.2016;08:00:52.717;10;Home@Brun;
02.05.2016;08:00:52.817;10;Home@Brun;
02.05.2016;08:00:52.917;10;Home@Brun;
02.05.2016;08:00:53.017;10;Home@Brun;
02.05.2016;08:00:53.117;10;Home@Brun;
02.05.2016;08:00:53.218;10;Home@Brun;
02.05.2016;08:00:53.317;10;Home@Brun;
02.05.2016;08:00:53.417;10;Home@Brun;
02.05.2016;08:00:53.517;10;Home@Brun;
02.05.2016;08:00:53.618;10;Home@Brun;
02.05.2016;08:00:53.717;10;Home@Brun;
02.05.2016;08:00:53.817;10;Home@Brun;
02.05.2016;08:00:53.918;10;Home@Brun;
02.05.2016;08:00:54.017;10;Home@Brun;
02.05.2016;08:00:54.117;10;Home@Brun;
02.05.2016;08:00:54.218;10;Home@Brun;
02.05.2016;08:00:54.317;10;Home@Brun;
02.05.2016;08:00:54.417;10;Home@Brun;
02.05.2016;08:00:54.517;10;Home@Brun;
02.05.2016;08:00:54.618;10;Home@Brun;
02.05.2016;08:00:54.718;10;Home@Brun;
02.05.2016;08:00:54.818;10;Home@Brun;
02.05.2016;08:00:54.918;10;Home@Brun;
